Position,Start_frame,End_frame,Speed,LEFT_Signboard_Caution_Board,RIGHT_Signboard_Caution_Board,LEFT_Signboard_Chevron_Board,RIGHT_Signboard_Chevron_Board,LEFT_Signboard_Gantry_Board,RIGHT_Signboard_Gantry_Board,LEFT_Signboard_Hazard_Board,RIGHT_Signboard_Hazard_Board,LEFT_Signboard_Information_Board,RIGHT_Signboard_Information_Board,LEFT_Signboard_Mandatory_Board,RIGHT_Signboard_Mandatory_Board,LEFT_VMS_Gantry,RIGHT_VMS_Gantry,LEFT_Delineator,RIGHT_Delineator,LEFT_Bus_Shelter,RIGHT_Bus_Shelter,LEFT_ECB_(SOS),RIGHT_ECB_(SOS),LEFT_Hectometer_stone,RIGHT_Hectometer_stone,LEFT_Kilometer_Stone,RIGHT_Kilometer_Stone,LEFT_Solar_Blinker,RIGHT_Solar_Blinker,LEFT_Double_Arm_Street_Light,RIGHT_Double_Arm_Street_Light,LEFT_Street_Light_Slanding,RIGHT_Street_Light_Slanding,LEFT_Single_Arm_Light_Slanting,RIGHT_Single_Arm_Light_Slanting,LEFT_High_Mast_Light,RIGHT_High_Mast_Light,LEFT_Expansion_Joint,RIGHT_Expansion_Joint,LEFT_ATCC,RIGHT_ATCC,LEFT_CCTV,RIGHT_CCTV,LEFT_DB_box,RIGHT_DB_box,LEFT_Signboard_Mandatory_Board_White,RIGHT_Signboard_Mandatory_Board_White,Distance,Chainage,OldSt,OldEn,Street_Light
N26.11822E74.34124,568199,568226,39.8,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.010761784,84.59335444,511389,511416,[]
N26.11817E74.34123,568229,568256,39.94,[],[],[],"[(511305, 'N26.11817E74.34123', 0.005617284, 84.615291792, 'N26.11801E74.34121', 568115,'U')]",[],[],"[(511329, 'N26.11817E74.34123', 0.005617284, 84.615291792, 'N26.11801E74.34121', 568139)]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.005343184,84.59869762,511419,511446,[]
N26.11806E74.34121,568259,568316,40.12,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.010976884,84.60967451,511449,511506,[]
N26.11801E74.34121,568319,568376,40.13,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.005617284,84.61529179,511509,511566,[]
N26.11792E74.34121,568379,568406,40.19,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.011316384,84.62660818,511569,511596,[]
N26.11785E74.34121,568409,568436,40.38,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.005839684,84.63244786,511599,511626,[]
N26.1178E74.34121,568439,568496,40.34,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.005673284,84.63812114,511629,511686,[]
N26.1177E74.3412,568499,568526,40.88,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.011621884,84.64974303,511689,511716,[]
N26.11765E74.3412,568529,568556,41.01,[],[],[],"[(511605, 'N26.11765E74.3412', 0.005617284, 84.67318218, 'N26.1175E74.34121', 568415,'U')]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.005950884,84.65569391,511719,511746,[]
N26.11754E74.3412,568559,568616,41.14,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.011870984,84.6675649,511749,511806,[]
N26.1175E74.34121,568619,568676,40.97,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.005617284,84.67318218,511809,511866,[]
N26.11739E74.34121,568679,568736,41.19,[],[],[],"[(511755, 'N26.11739E74.34121', 0.0058809840000000006, 84.702778432, 'N26.11722E74.34121', 568565,'U')]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.011870984,84.68505316,511869,511926,[]
N26.11727E74.34121,568739,568766,41.46,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.011844284,84.69689745,511929,511956,[]
N26.11722E74.34121,568769,568796,41.68,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.005880984,84.70277843,511959,511986,[]
N26.1172E74.34121,568799,568826,42.06,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.005893584,84.70867202,511989,512016,[]
N26.11711E74.34122,568829,568856,42.94,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.006003784,84.7146758,512019,512046,[]
N26.117E74.34124,568859,568916,44.29,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.012379584,84.72705538,512049,512106,[]
N26.11696E74.34124,568919,568976,44.72,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.006114084,84.73316947,512109,512166,[]
N26.11684E74.34126,568979,569006,46.28,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.012931684,84.74610115,512169,512196,[]
N26.11678E74.34127,569009,569036,46.97,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.006675684,84.75277684,512199,512226,[]
N26.11671E74.34127,569039,569096,48.39,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.006555284,84.75933212,512229,512286,[]
N26.1166E74.34129,569099,569126,49.16,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.013814784,84.7731469,512289,512316,[]
N26.11653E74.34129,569129,569156,50.03,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.007001284,84.78014819,512319,512346,[]
N26.11639E74.34131,569159,569216,51.71,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.014363384,84.79451157,512349,512406,[]
N26.11633E74.34132,569219,569276,52.57,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.007327584,84.80183916,512409,512466,[]
N26.11628E74.34132,569279,569306,54,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.007660284,84.80949944,512469,512496,[]
N26.11612E74.34134,569309,569336,54.79,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.015035584,84.82453502,512499,512526,[]
N26.11606E74.34135,569339,569396,55.61,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.007660284,84.83219531,512529,512586,[]
N26.11592E74.34137,569399,569456,56.75,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.016126884,84.84832219,512589,512646,[]
N26.11585E74.34137,569459,569486,57.78,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.008213484,84.85653568,512649,512676,[]
N26.11572E74.3414,569489,569516,58.06,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.015682184,84.87221786,512679,512706,[]
N26.11565E74.34141,569519,569576,57.98,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.006986484,84.87920434,512709,512766,[]
N26.11552E74.34143,569579,569606,58.85,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.014692784,84.89389713,512769,512796,[]
N26.11545E74.34144,569609,569636,58.58,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.007218084,84.90111521,512799,512826,[]
N26.11539E74.34145,569639,569696,59.15,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.007327584,84.9084428,512829,512886,[]
N26.11525E74.34147,569699,569756,59.34,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.015132284,84.92357508,512889,512946,[]
N26.11519E74.34149,569759,569786,59.39,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.007439184,84.93101426,512949,512976,[]
N26.11505E74.34151,569789,569816,59.77,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.016126884,84.94714115,512979,513006,[]
N26.11496E74.34152,569819,569876,59.68,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.008528884,84.95567003,513009,513066,[]
N26.11481E74.34155,569879,569906,59.88,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.016801084,84.97247112,513069,513096,[]
N26.11474E74.34156,569909,569936,60.08,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.008528884,84.981,513099,513126,[]
N26.11458E74.34159,569939,569996,60.33,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.01706767,84.99806767,513129,513186,[]
N26.11452E74.3416,569999,570056,60.45,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00846737,85.00653504,513189,513246,[]
N26.11434E74.34163,570059,570086,60.63,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.01717707,85.02371211,513249,513276,[]
N26.11429E74.34164,570089,570116,60.75,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00857687,85.03228898,513279,513306,[]
N26.11412E74.34167,570119,570176,61.3,[],[],[],[],[],[],[],[],[],"[(513138, 'N26.11412E74.34167', 0.009234570000001, 85.06771579, 'N26.11398E74.34169', 569948)]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.01748797,85.04977695,513309,513366,[]
N26.11405E74.34168,570179,570236,61.25,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00870427,85.05848122,513369,513426,[]
N26.11398E74.34169,570239,570266,61.56,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00923457,85.06771579,513429,513456,[]
N26.1138E74.34172,570269,570296,61.75,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.01729457,85.08501036,513459,513486,[]
N26.11374E74.34173,570299,570356,62.05,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00903227,85.09404263,513489,513546,[]
N26.11358E74.34175,570359,570386,62.3,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.01762687,85.1116695,513549,513576,[]
N26.11351E74.34177,570389,570416,62.6,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00901517,85.12068467,513579,513606,[]
N26.11342E74.34178,570419,570476,63.22,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00914727,85.12983194,513609,513666,[]
N26.11325E74.34181,570479,570536,63.09,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.01762687,85.14745881,513669,513726,[]
N26.11318E74.34182,570539,570566,62.91,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00903647,85.15649528,513729,513756,[]
N26.11302E74.34185,570569,570596,62.76,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.01771257,85.17420785,513759,513786,[]
N26.11293E74.34186,570599,570656,62.78,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00891737,85.18312522,513789,513846,[]
N26.11284E74.34188,570659,570686,63.16,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00914727,85.19227249,513849,513876,[]
N26.11269E74.3419,570689,570716,63.06,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.01793317,85.21020566,513879,513906,[]
N26.11262E74.34191,570719,570776,62,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00868637,85.21889203,513909,513966,[]
N26.11247E74.34194,570779,570806,61.25,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.01683097,85.235723,513969,513996,[]
N26.1124E74.34195,570809,570836,61.1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00848287,85.24420587,513999,514026,[]
N26.11226E74.34197,570839,570896,59.55,[],[],[],[],[],[],[],"[(513939, 'N26.11226E74.34197', 0.016174870000001, 85.28448658000009, 'N26.11204E74.34201', 570749)]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[(513948, 'N26.11226E74.34197', 0.016174870000001, 85.28448658000009, 'N26.11204E74.34201', 570758)]",[],[],[],[],[],[],[],[],0.01606567,85.26027154,514029,514086,[]
N26.11218E74.34199,570899,570956,59.34,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00804017,85.26831171,514089,514146,[]
N26.11204E74.34201,570959,570986,57.49,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.01617487,85.28448658,514149,514176,[]
N26.11197E74.34202,570989,571016,57.18,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[(514038, 'N26.11197E74.34202', 0.015801370000001, 85.3162590900001, 'N26.11175E74.34206', 570848)]",[],[],[],[],[],[],[],[],0.00824857,85.29273515,514179,514206,[]
N26.11189E74.34204,571019,571076,56.52,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00772257,85.30045772,514209,514266,[]
N26.11175E74.34206,571079,571106,56.07,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.01580137,85.31625909,514269,514296,[]
N26.11169E74.34207,571109,571136,56.21,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00792077,85.32417986,514299,514326,[]
N26.11156E74.3421,571139,571196,55.85,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.01564837,85.33982823,514329,514386,[]
N26.11147E74.34211,571199,571256,55.82,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00813927,85.3479675,514389,514446,[]
N26.1114E74.34213,571259,571286,56.2,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.00802997,85.35599747,514449,514476,[]
N26.11127E74.34215,571289,571316,56.31,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.01619367,85.37219114,514479,514506,[]
